fold,actual_classifier_type,best_clf_params,auc,pr_auc,accuracy,balanced_accuracy,sensitivity,specificity,f1_score
1,logreg,{'_no_tune': True},0.7125,0.7338700795082329,0.6451612903225806,0.6447916666666667,0.65625,0.6333333333333333,0.65625
2,logreg,{'_no_tune': True},0.7408602150537634,0.7469213736623626,0.6721311475409836,0.6704301075268817,0.7741935483870968,0.5666666666666667,0.7058823529411765
3,logreg,{'_no_tune': True},0.7241379310344828,0.6652240096414587,0.6885245901639344,0.6821120689655172,0.8125,0.5517241379310345,0.7323943661971831
