fold,actual_classifier_type,best_clf_params,auc,pr_auc,accuracy,balanced_accuracy,sensitivity,specificity,f1_score
1,logreg,{'_no_tune': True},0.85,0.8637614987137158,0.8225806451612904,0.8208333333333333,0.875,0.7666666666666667,0.835820895522388
2,logreg,{'_no_tune': True},0.7204301075268816,0.7527352777062948,0.6229508196721312,0.6220430107526882,0.6774193548387096,0.5666666666666667,0.6461538461538462
3,logreg,{'_no_tune': True},0.6120689655172413,0.6122475896570949,0.5901639344262295,0.5932112068965517,0.53125,0.6551724137931034,0.576271186440678
