fold,actual_classifier_type,best_clf_params,auc,pr_auc,accuracy,balanced_accuracy,sensitivity,specificity,f1_score
1,logreg,{'_no_tune': True},0.7447916666666667,0.7085085256546836,0.7419354838709677,0.740625,0.78125,0.7,0.7575757575757576
2,logreg,{'_no_tune': True},0.7892473118279569,0.7931375834514754,0.7377049180327869,0.7360215053763441,0.8387096774193549,0.6333333333333333,0.7647058823529411
3,logreg,{'_no_tune': True},0.7306034482758621,0.7540294927165574,0.6721311475409836,0.6713362068965517,0.6875,0.6551724137931034,0.6875
