fold,actual_classifier_type,best_clf_params,auc,pr_auc,accuracy,balanced_accuracy,sensitivity,specificity,f1_score
1,logreg,{'_no_tune': True},0.6979166666666666,0.7326576927157115,0.6290322580645161,0.628125,0.65625,0.6,0.6461538461538462
2,logreg,{'_no_tune': True},0.7301075268817205,0.7303319863784377,0.7049180327868853,0.7032258064516128,0.8064516129032258,0.6,0.7352941176470589
3,logreg,{'_no_tune': True},0.7273706896551724,0.776194917095972,0.7049180327868853,0.7074353448275862,0.65625,0.7586206896551724,0.7
