fold,actual_classifier_type,best_clf_params,auc,pr_auc,accuracy,balanced_accuracy,sensitivity,specificity,f1_score
1,logreg,{'_no_tune': True},0.7531249999999999,0.7313250261476061,0.6612903225806451,0.6604166666666667,0.6875,0.6333333333333333,0.676923076923077
2,logreg,{'_no_tune': True},0.8473118279569893,0.8632245893225108,0.7540983606557377,0.7521505376344086,0.8709677419354839,0.6333333333333333,0.782608695652174
3,logreg,{'_no_tune': True},0.7629310344827587,0.7871796394818343,0.6885245901639344,0.6869612068965517,0.71875,0.6551724137931034,0.7076923076923077
