fold,actual_classifier_type,best_clf_params,auc,pr_auc,accuracy,balanced_accuracy,sensitivity,specificity,f1_score
1,logreg,{'_no_tune': True},0.79375,0.8212506626538488,0.7096774193548387,0.7104166666666667,0.6875,0.7333333333333333,0.7096774193548387
2,logreg,{'_no_tune': True},0.7709677419354839,0.7774808751728226,0.6065573770491803,0.6053763440860215,0.6774193548387096,0.5333333333333333,0.6363636363636364
3,logreg,{'_no_tune': True},0.6907327586206897,0.6991589357500863,0.7049180327868853,0.709051724137931,0.625,0.7931034482758621,0.6896551724137931
