fold,actual_classifier_type,best_clf_params,auc,pr_auc,accuracy,balanced_accuracy,sensitivity,specificity,f1_score
1,logreg,{'_no_tune': True},0.64375,0.6853075307416756,0.5967741935483871,0.5947916666666666,0.65625,0.5333333333333333,0.6268656716417911
2,logreg,{'_no_tune': True},0.7580645161290323,0.7775941888298961,0.639344262295082,0.6387096774193548,0.6774193548387096,0.6,0.65625
3,logreg,{'_no_tune': True},0.706896551724138,0.746895035549725,0.7049180327868853,0.7042025862068966,0.71875,0.6896551724137931,0.71875
