fold,actual_classifier_type,best_clf_params,auc,pr_auc,accuracy,balanced_accuracy,sensitivity,specificity,f1_score
1,logreg,{'_no_tune': True},0.734375,0.7608016983429775,0.6451612903225806,0.64375,0.6875,0.6,0.6666666666666666
2,logreg,{'_no_tune': True},0.7086021505376344,0.7047369727417996,0.639344262295082,0.6381720430107527,0.7096774193548387,0.5666666666666667,0.6666666666666666
3,logreg,{'_no_tune': True},0.625,0.6326153523035948,0.5245901639344263,0.5290948275862069,0.4375,0.6206896551724138,0.49122807017543857
