fold,actual_classifier_type,best_clf_params,auc,pr_auc,accuracy,balanced_accuracy,sensitivity,specificity,f1_score
1,logreg,{'_no_tune': True},0.6541666666666667,0.6580326410345906,0.6129032258064516,0.6135416666666667,0.59375,0.6333333333333333,0.6129032258064516
2,logreg,{'_no_tune': True},0.7784946236559139,0.7658922941232164,0.7213114754098361,0.7193548387096774,0.8387096774193549,0.6,0.7536231884057971
3,logreg,{'_no_tune': True},0.6390086206896551,0.6270936706677509,0.6721311475409836,0.6697198275862069,0.71875,0.6206896551724138,0.696969696969697
