fold,actual_classifier_type,best_clf_params,auc,pr_auc,accuracy,balanced_accuracy,sensitivity,specificity,f1_score
1,logreg,{'_no_tune': True},0.5385416666666667,0.5959930082674385,0.5483870967741935,0.5489583333333333,0.53125,0.5666666666666667,0.5483870967741935
2,logreg,{'_no_tune': True},0.5720430107526882,0.5898510792157108,0.5409836065573771,0.5408602150537634,0.5483870967741935,0.5333333333333333,0.5483870967741935
3,logreg,{'_no_tune': True},0.636853448275862,0.6655346982408914,0.5901639344262295,0.5932112068965517,0.53125,0.6551724137931034,0.576271186440678
