fold,actual_classifier_type,best_clf_params,auc,pr_auc,accuracy,balanced_accuracy,sensitivity,specificity,f1_score
1,logreg,{'_no_tune': True},0.4875,0.5444265201290978,0.46774193548387094,0.465625,0.53125,0.4,0.5074626865671642
2,logreg,{'_no_tune': True},0.6215053763440861,0.6036361651021994,0.5573770491803278,0.5564516129032258,0.6129032258064516,0.5,0.5846153846153846
3,logreg,{'_no_tune': True},0.5689655172413792,0.5732029327793005,0.5737704918032787,0.5775862068965517,0.5,0.6551724137931034,0.5517241379310345
