fold,actual_classifier_type,best_clf_params,auc,pr_auc,accuracy,balanced_accuracy,sensitivity,specificity,f1_score
1,logreg,{'_no_tune': True},0.7302083333333332,0.7160879189468158,0.6935483870967742,0.69375,0.6875,0.7,0.6984126984126984
2,logreg,{'_no_tune': True},0.7548387096774194,0.7576580208372249,0.6885245901639344,0.6870967741935483,0.7741935483870968,0.6,0.7164179104477612
3,logreg,{'_no_tune': True},0.6702586206896551,0.6659225113144701,0.6885245901639344,0.6885775862068966,0.6875,0.6896551724137931,0.6984126984126984
