fold,actual_classifier_type,best_clf_params,auc,pr_auc,accuracy,balanced_accuracy,sensitivity,specificity,f1_score
1,logreg,{'_no_tune': True},0.7895833333333333,0.8156804783945268,0.6935483870967742,0.6895833333333333,0.8125,0.5666666666666667,0.7323943661971831
2,logreg,{'_no_tune': True},0.7247311827956989,0.741567371829319,0.7049180327868853,0.7026881720430107,0.8387096774193549,0.5666666666666667,0.7428571428571429
3,logreg,{'_no_tune': True},0.7370689655172413,0.7910500762406862,0.6885245901639344,0.6918103448275862,0.625,0.7586206896551724,0.6779661016949152
