fold,actual_classifier_type,best_clf_params,auc,pr_auc,accuracy,balanced_accuracy,sensitivity,specificity,f1_score
1,logreg,{'_no_tune': True},0.6802083333333333,0.6921171476863721,0.6129032258064516,0.6125,0.625,0.6,0.625
2,logreg,{'_no_tune': True},0.7204301075268817,0.7502087340680941,0.639344262295082,0.6387096774193548,0.6774193548387096,0.6,0.65625
3,logreg,{'_no_tune': True},0.8459051724137931,0.8539593531959658,0.8360655737704918,0.8372844827586207,0.8125,0.8620689655172413,0.8387096774193549
