fold,actual_classifier_type,best_clf_params,auc,pr_auc,accuracy,balanced_accuracy,sensitivity,specificity,f1_score
1,logreg,{'_no_tune': True},0.7052083333333333,0.6863636090009125,0.6935483870967742,0.6927083333333333,0.71875,0.6666666666666666,0.7076923076923077
2,logreg,{'_no_tune': True},0.6161290322580645,0.624614230726601,0.639344262295082,0.6370967741935484,0.7741935483870968,0.5,0.6857142857142857
3,logreg,{'_no_tune': True},0.6185344827586207,0.6615220904653729,0.6065573770491803,0.6039870689655172,0.65625,0.5517241379310345,0.6363636363636364
