fold,actual_classifier_type,best_clf_params,auc,pr_auc,accuracy,balanced_accuracy,sensitivity,specificity,f1_score
1,logreg,{'_no_tune': True},0.7552083333333334,0.7268434752145738,0.6935483870967742,0.6916666666666667,0.75,0.6333333333333333,0.7164179104477612
2,logreg,{'_no_tune': True},0.7634408602150538,0.7510910905467569,0.7377049180327869,0.7370967741935484,0.7741935483870968,0.7,0.75
3,logreg,{'_no_tune': True},0.7349137931034482,0.750788447587029,0.6885245901639344,0.6853448275862069,0.75,0.6206896551724138,0.7164179104477612
