fold,actual_classifier_type,best_clf_params,auc,pr_auc,accuracy,balanced_accuracy,sensitivity,specificity,f1_score
1,logreg,{'_no_tune': True},0.7197916666666667,0.732629819141072,0.6451612903225806,0.6447916666666667,0.65625,0.6333333333333333,0.65625
2,logreg,{'_no_tune': True},0.7569892473118279,0.7985959765822781,0.6557377049180327,0.6548387096774193,0.7096774193548387,0.6,0.676923076923077
3,logreg,{'_no_tune': True},0.6648706896551724,0.7349287320659418,0.5901639344262295,0.5899784482758621,0.59375,0.5862068965517241,0.6031746031746031
