fold,actual_classifier_type,best_clf_params,auc,pr_auc,accuracy,balanced_accuracy,sensitivity,specificity,f1_score
1,logreg,{'_no_tune': True},0.6010416666666667,0.635440221790269,0.5645161290322581,0.5635416666666666,0.59375,0.5333333333333333,0.5846153846153846
2,logreg,{'_no_tune': True},0.7193548387096774,0.7313004624921796,0.6557377049180327,0.6537634408602151,0.7741935483870968,0.5333333333333333,0.6956521739130435
3,logreg,{'_no_tune': True},0.5959051724137931,0.6919325986854107,0.5901639344262295,0.5932112068965517,0.53125,0.6551724137931034,0.576271186440678
