fold,actual_classifier_type,best_clf_params,auc,pr_auc,accuracy,balanced_accuracy,sensitivity,specificity,f1_score
1,logreg,{'_no_tune': True},0.7197916666666666,0.7388448793366745,0.6935483870967742,0.69375,0.6875,0.7,0.6984126984126984
2,logreg,{'_no_tune': True},0.8408602150537634,0.8379296850583711,0.7377049180327869,0.7354838709677419,0.8709677419354839,0.6,0.7714285714285715
3,logreg,{'_no_tune': True},0.7769396551724138,0.8052270317647856,0.6721311475409836,0.6713362068965517,0.6875,0.6551724137931034,0.6875
