fold,actual_classifier_type,best_clf_params,auc,pr_auc,accuracy,balanced_accuracy,sensitivity,specificity,f1_score
1,logreg,{'_no_tune': True},0.625,0.6210940419477702,0.5645161290322581,0.5697916666666667,0.40625,0.7333333333333333,0.49056603773584906
2,logreg,{'_no_tune': True},0.6903225806451613,0.7089477357564054,0.6229508196721312,0.6220430107526882,0.6774193548387096,0.5666666666666667,0.6461538461538462
3,logreg,{'_no_tune': True},0.6875,0.7357242910884219,0.6885245901639344,0.6869612068965517,0.71875,0.6551724137931034,0.7076923076923077
