fold,actual_classifier_type,best_clf_params,auc,pr_auc,accuracy,balanced_accuracy,sensitivity,specificity,f1_score
1,logreg,{'_no_tune': True},0.7291666666666667,0.7429000064004418,0.6935483870967742,0.6875,0.875,0.5,0.7466666666666667
2,logreg,{'_no_tune': True},0.6150537634408603,0.6451228655308502,0.6065573770491803,0.603225806451613,0.8064516129032258,0.4,0.6756756756756757
3,logreg,{'_no_tune': True},0.7887931034482759,0.7973240826145447,0.7540983606557377,0.7526939655172413,0.78125,0.7241379310344828,0.7692307692307693
