fold,actual_classifier_type,best_clf_params,auc,pr_auc,accuracy,balanced_accuracy,sensitivity,specificity,f1_score
1,logreg,{'_no_tune': True},0.7749999999999999,0.7743431017402174,0.6451612903225806,0.6447916666666667,0.65625,0.6333333333333333,0.65625
2,logreg,{'_no_tune': True},0.8602150537634408,0.8853629059696885,0.7540983606557377,0.7532258064516129,0.8064516129032258,0.7,0.7692307692307693
3,logreg,{'_no_tune': True},0.6239224137931034,0.6277343123873699,0.5737704918032787,0.5727370689655172,0.59375,0.5517241379310345,0.59375
