fold,actual_classifier_type,best_clf_params,auc,pr_auc,accuracy,balanced_accuracy,sensitivity,specificity,f1_score
1,logreg,{'_no_tune': True},0.7510416666666666,0.7565311014466087,0.6451612903225806,0.6416666666666666,0.75,0.5333333333333333,0.6857142857142857
2,logreg,{'_no_tune': True},0.8344086021505376,0.8643494360880806,0.7704918032786885,0.7704301075268818,0.7741935483870968,0.7666666666666667,0.7741935483870968
3,logreg,{'_no_tune': True},0.720905172413793,0.7299787478322709,0.6885245901639344,0.6869612068965517,0.71875,0.6551724137931034,0.7076923076923077
