fold,actual_classifier_type,best_clf_params,auc,pr_auc,accuracy,balanced_accuracy,sensitivity,specificity,f1_score
1,logreg,{'_no_tune': True},0.740625,0.7486349874597665,0.6451612903225806,0.64375,0.6875,0.6,0.6666666666666666
2,logreg,{'_no_tune': True},0.7290322580645161,0.7472724277548215,0.6557377049180327,0.6564516129032258,0.6129032258064516,0.7,0.6440677966101694
3,logreg,{'_no_tune': True},0.7262931034482758,0.7439068405488899,0.6721311475409836,0.6745689655172413,0.625,0.7241379310344828,0.6666666666666666
