fold,actual_classifier_type,best_clf_params,auc,pr_auc,accuracy,balanced_accuracy,sensitivity,specificity,f1_score
1,logreg,{'_no_tune': True},0.64375,0.6519233474605381,0.6129032258064516,0.615625,0.53125,0.7,0.5862068965517241
2,logreg,{'_no_tune': True},0.7107526881720431,0.6889170995883542,0.6557377049180327,0.6532258064516129,0.8064516129032258,0.5,0.704225352112676
3,logreg,{'_no_tune': True},0.7273706896551724,0.7270746221110277,0.6229508196721312,0.6212284482758621,0.65625,0.5862068965517241,0.6461538461538462
