fold,actual_classifier_type,best_clf_params,auc,pr_auc,accuracy,balanced_accuracy,sensitivity,specificity,f1_score
1,logreg,{'_no_tune': True},0.6416666666666667,0.6439253730917447,0.5483870967741935,0.5479166666666666,0.5625,0.5333333333333333,0.5625
2,logreg,{'_no_tune': True},0.7473118279569892,0.7502184426660458,0.5901639344262295,0.589247311827957,0.6451612903225806,0.5333333333333333,0.6153846153846154
3,logreg,{'_no_tune': True},0.7187499999999999,0.7308440295200642,0.639344262295082,0.6417025862068966,0.59375,0.6896551724137931,0.6333333333333333
