fold,actual_classifier_type,best_clf_params,auc,pr_auc,accuracy,balanced_accuracy,sensitivity,specificity,f1_score
1,logreg,{'_no_tune': True},0.7989583333333333,0.8419147853019222,0.7096774193548387,0.709375,0.71875,0.7,0.71875
2,logreg,{'_no_tune': True},0.7666666666666666,0.7842553834496389,0.6885245901639344,0.6881720430107527,0.7096774193548387,0.6666666666666666,0.6984126984126984
3,logreg,{'_no_tune': True},0.7424568965517241,0.7825330518481601,0.6557377049180327,0.6573275862068966,0.625,0.6896551724137931,0.6557377049180327
