fold,actual_classifier_type,best_clf_params,auc,pr_auc,accuracy,balanced_accuracy,sensitivity,specificity,f1_score
1,logreg,{'_no_tune': True},0.6875,0.6802156504945576,0.6451612903225806,0.6416666666666666,0.75,0.5333333333333333,0.6857142857142857
2,logreg,{'_no_tune': True},0.8139784946236559,0.8576032952950267,0.7377049180327869,0.7370967741935484,0.7741935483870968,0.7,0.75
3,logreg,{'_no_tune': True},0.7252155172413792,0.7386517298918963,0.7377049180327869,0.7370689655172413,0.75,0.7241379310344828,0.75
